B;528;4105175;6;20210201 01:04;;;89;HASKINS WAY;GUNDAROO;2620;68.15;H;20200927;20210122;3420000;RU1;R;RESIDENCE;;RRC;;0;AQ745823;
B;528;439357;7;20170501 01:12;;;31;DAVID ST;GUNDAROO;2620;2.034;H;20170207;20170410;1000000;R2;R;RESIDENCE;;RGR;;0;AM331741;
B;528;439374;5;20160801 01:11;;;42;MORNING ST;GUNDAROO;2620;1897;M;20160524;20160715;545000;RU5;R;RESIDENCE;;VGR;;0;AK625689;
B;528;3949152;11;20160801 01:11;;;;TALLAGANDRA LANE;GUNDAROO;2620;27.01;H;20160408;20160530;600000;;V;VACANT LAND;;;;0;AK610615;
B;528;4303219;5;20250901 01:12;;;101;LUTE ST;GUNDAROO;2620;1;H;20250625;20250825;1480000;R2;R;RESIDENCE;;RGR;;;AV359336;
B;528;439354;7;20181001 01:30;;;25;LUTE ST;GUNDAROO;2620;2.034;M;20180607;20180906;1070000;R2;R;RESIDENCE;;RGR;;0;AN733993;
B;528;3200580;7;20251201 01:13;;;1651;MARKED TREE RD;GUNDAROO;2620;16.64;H;20250924;20251126;900000;RU1;R;RESIDENCE;;RHF;;;AV647839;
B;528;4270397;8;20200302 01:08;;;25;LUTE ST;GUNDAROO;2620;5245;M;20191213;20200226;909000;R2;R;RESIDENCE;;RGR;;0;AP926290;
B;528;4312305;6;20201102 01:09;;;192;WURUNGUL LANE;GUNDAROO;2620;20.01;H;20201001;20201029;1050000;RU1;R;RESIDENCE;;RHF;;0;AQ510498;
B;528;4322797;12;20201102 01:09;;;;TALLAGANDRA LANE;GUNDAROO;2620;3.103;H;20191107;20200908;33000;;V;VACANT LAND;;;;0;AQ418118;
B;528;3573237;6;20241202 01:09;;;48;CORK ST;GUNDAROO;2620;2023;M;20240927;20241125;1252000;RU5;R;RESIDENCE;;VGR;;0;AU614726;
B;528;3838089;9;20241202 01:09;;;79;HADLOW DR;GUNDAROO;2620;1.961;H;20241108;20241126;1220000;RU1;R;RESIDENCE;;RRZ;;0;AU617344;
B;528;4269113;12;20200203 01:04;;;188;KERRICK LANE;GUNDAROO;2620;20;H;20190830;20200122;680000;;3;FARM;;;;0;AP851280;
B;528;4552231;11;20240603 01:07;;;;GUNDAROO RD;GUNDAROO;2620;2;H;20240417;20240516;830000;;R;RESIDENCE;;;;0;AU73916;
B;528;4377060;18;20240603 01:07;;;20;MANNIFERA DR;GUNDAROO;2620;2001;M;20240514;20240529;540000;R2;V;VACANT LAND;;RGR;;0;AU109743;
B;528;4031025;8;20170703 01:09;;;31;LUTE ST;GUNDAROO;2620;5000;M;20170607;20170616;410000;R2;V;VACANT LAND;;RGR;;0;AM510951;
B;528;4402526;5;20230703 01:15;;;3;ACACIA ST;GUNDAROO;2620;2500;M;20230526;20230627;505000;R2;V;VACANT LAND;;RGR;;0;AT211301;
B;528;4303220;10;20200803 01:04;;;99;LUTE ST;GUNDAROO;2620;1;H;20190814;20200730;550000;R2;V;VACANT LAND;;RGR;;0;AQ283574;
B;528;4303221;11;20200803 01:04;;;97;LUTE ST;GUNDAROO;2620;1;H;20190626;20200730;550000;R2;R;RESIDENCE;;RGR;;0;AQ283707;
B;528;4303222;12;20200803 01:04;;;95;LUTE ST;GUNDAROO;2620;1;H;20190621;20200730;550000;R2;V;VACANT LAND;;RGR;;0;AQ283900;
B;528;2893904;1;20161003 01:09;;;79;NOYES LANE;GUNDAROO;2620;16.19;H;20160812;20160916;866000;RU1;R;RESIDENCE;;RHF;;0;AK797794;
B;528;3958822;8;20161003 01:09;;;70;MORNING ST;GUNDAROO;2620;2001;M;20150625;20160915;250000;RU5;V;VACANT LAND;;VGR;;0;AK782427;
B;528;439293;6;20221003 02:07;;;33;CORK ST;GUNDAROO;2620;2023;M;20220826;20220928;1100000;RU5;R;RESIDENCE;;VGR;;0;AS506572;
B;528;4377061;7;20240304 01:08;;;9;MANNIFERA DR;GUNDAROO;2620;2000;M;20240111;20240228;520000;R2;V;VACANT LAND;;RGR;;0;AT866320;
B;528;439383;5;20160404 01:16;;;1;MORNING ST;GUNDAROO;2620;1037;M;20160218;20160318;680000;RU5;R;RESIDENCE;;VGR;;0;AK320051;
B;528;4402510;7;20220404 05:03;;;2;ACACIA ST;GUNDAROO;2620;2100;M;20220310;20220331;490000;R2;V;VACANT LAND;;RGR;;0;AS9063;
B;528;4410694;9;20220404 05:03;;;50;MCLEODS CREEK DR;GUNDAROO;2620;10.06;H;20210618;20220328;870000;RU4;V;VACANT LAND;;RM3;;0;AR996647;
B;528;4122737;10;20180604 01:19;;;800;SHINGLE HILL WAY;GUNDAROO;2620;59.89;M;20170913;20180521;2600000;;R;RESIDENCE;;;;0;AN370640;
B;528;3916624;13;20160704 01:08;;;7;LIND;GUNDAROO;2620;2000;M;20160226;20160617;265000;RU5;V;VACANT LAND;;VGR;;0;AK544770;
B;528;4292538;11;20220704 01:19;;;32;DAVID ST;GUNDAROO;2620;5085;M;20220429;20220628;1550000;R2;R;RESIDENCE;;RGR;;0;AS258483;
B;528;440127;8;20250804 01:12;;;4344;GUNDAROO RD;GUNDAROO;2620;9.609;H;20250520;20250730;1780000;RU1;R;RESIDENCE;;RHF;;;AV288025;
B;528;439388;2;20211004 01:53;;;19;MORNING ST;GUNDAROO;2620;4097;M;20210831;20210915;650000;RU5;R;RESIDENCE;;VGR;;0;AR430986;
B;528;439388;3;20211004 01:53;;;19;MORNING ST;GUNDAROO;2620;4097;M;20210823;20210915;221000;RU5;R;RESIDENCE;;VGR;;0;AR430988;
B;528;3725556;5;20241104 01:09;;;26;LIND ST;GUNDAROO;2620;2023;M;20241008;20241030;525000;RU5;V;VACANT LAND;;VGR;;0;AU539499;
B;528;4402530;6;20241104 01:09;;;10;KYEEMA DR;GUNDAROO;2620;2000;M;20240919;20241031;500000;R2;V;VACANT LAND;;RGR;;0;AU544598;
B;528;439254;2;20231204 01:10;;;294;DAIRY CREEK RD;GUNDAROO;2620;64.24;H;20231110;20231128;1970000;RU1;R;RESIDENCE;;RHF;;0;AT640940;
B;528;4089462;3;20180305 01:19;;;274;BACK CREEK RD;GUNDAROO;2620;69.87;H;20180202;20180220;860000;RU1;R;RESIDENCE;;RHF;;0;AN150145;
B;528;3364011;13;20210405 01:09;;;3;ROSAMEL ST;GUNDAROO;2620;2207;M;20210303;20210401;839000;RU5;R;RESIDENCE;;VGR;;0;AQ929128;
B;528;427157;2;20170605 01:10;;;419;BACK CREEK RD;GUNDAROO;2620;81.36;H;20170407;20170523;950000;RU1;R;RESIDENCE;;RRC;;0;AM434600;
B;528;4033275;4;20170605 01:10;;;528;BACK CREEK RD;GUNDAROO;2620;50.6;H;20161102;20170522;605000;;V;VACANT LAND;;;;0;AM424358;
B;528;4402516;9;20230605 01:14;;;3;MANNIFERA DR;GUNDAROO;2620;2000;M;20230317;20230526;1280000;R2;R;RESIDENCE;;RGR;;0;AT121203;
B;528;4410691;10;20230605 01:14;;;36;MCLEODS CREEK DR;GUNDAROO;2620;10.01;H;20230420;20230601;1080000;RU4;3;FARM;;RM3;;0;AT139460;
B;528;439239;9;20210705 01:07;;;15;FAITHFULL ST;GUNDAROO;2620;4800;M;20210528;20210628;1000000;RU1;R;RESIDENCE;;RRZ;;0;AR187968;
B;528;439376;10;20210705 01:07;;;36;MORNING ST;GUNDAROO;2620;1768;M;20210519;20210630;475000;RU5;R;RESIDENCE;;VGR;;0;AR197854;
B;528;439370;9;20240805 01:09;;;50;MORNING ST;GUNDAROO;2620;1897;M;20240702;20240801;1100000;RU5;R;RESIDENCE;;VGR;;0;AU297864;
B;528;439327;3;20160905 01:08;;;6;HARP ST;GUNDAROO;2620;946;M;20160713;20160812;680000;RU5;R;RESIDENCE;;VGR;;0;AK711638;
B;528;3797382;6;20160905 01:08;;;45;MORNING ST;GUNDAROO;2620;2023;M;20160707;20160811;337500;RU5;V;VACANT LAND;;VGR;;0;AK703126;
B;528;4220264;2;20220905 01:55;;;840;MARKED TREE RD;GUNDAROO;2620;50.55;H;20220715;20220826;1690000;RU1;R;RESIDENCE;;RHF;;0;AS421577;
B;528;439287;7;20220905 01:55;;;4;LOT ST;GUNDAROO;2620;2023;M;20220817;20220831;1150000;RU5;R;RESIDENCE;;VGR;;0;AS437670;
B;528;4284522;12;20201005 01:04;;;22;HARP ST;GUNDAROO;2620;6814;M;20200724;20201001;493000;R2;R;RESIDENCE;;RGR;;0;AQ441107;
B;528;439306;6;20221205 01:08;;;67;CORK ST;GUNDAROO;2620;2023;M;20221020;20221201;1070000;RU5;R;RESIDENCE;;VGR;;0;AS683327;
B;528;3013549;7;20221205 01:08;;;82;CORK ST;GUNDAROO;2620;2057;M;20221020;20221201;1050000;RU5;R;RESIDENCE;;VGR;;0;AS684306;
B;528;3716523;7;20230206 01:09;;;3;LIND ST;GUNDAROO;2620;2040;M;20221026;20230201;1025000;RU5;R;RESIDENCE;;VGR;;0;AS831886;
B;528;3717478;4;20230306 01:09;;;764;BACK CREEK RD;GUNDAROO;2620;7.506;H;20230116;20230224;1085000;RU1;R;RESIDENCE;;RHF;;0;AS883508;
B;528;439379;7;20200406 01:04;;;28;MORNING ST;GUNDAROO;2620;1897;M;20200306;20200401;645000;RU5;R;RESIDENCE;;VGR;;0;AQ7192;
B;528;4281823;10;20200406 01:04;;;;GUNDAROO RD;GUNDAROO;2620;23.99;H;20191203;20200306;1270000;;V;VACANT LAND;;;;0;AP948263;
B;528;4281823;11;20200406 01:04;;;;GUNDAROO RD;GUNDAROO;2620;23.99;H;20191206;20200310;1930000;;V;VACANT LAND;;;;0;AP952880;
B;528;4271785;13;20200406 01:04;;;94;CORK ST;GUNDAROO;2620;2004;M;20200304;20200330;363500;RU5;V;VACANT LAND;;VGR;;0;AQ774;
B;528;4377072;1;20210906 02:13;;;98;LUTE ST;GUNDAROO;2620;2500;M;20210731;20210830;233750;;V;VACANT LAND;;;;0;AR381977;
B;528;4377076;5;20210906 02:13;;;18;KYEEMA DR;GUNDAROO;2620;2000;M;20190731;20210830;233750;;V;VACANT LAND;;;;0;AR382126;
B;528;4377061;6;20210906 02:13;;;9;MANNIFERA DR;GUNDAROO;2620;2000;M;20190912;20210827;280000;;V;VACANT LAND;;;;0;AR376307;
B;528;4376045;11;20210906 02:13;;;21;HARP ST;GUNDAROO;2620;5113;M;20210527;20210827;590000;;V;VACANT LAND;;;;0;AR376823;
B;528;4377075;12;20210906 02:13;;;16;KYEEMA DR;GUNDAROO;2620;2000;M;20190731;20210831;233750;;V;VACANT LAND;;;;0;AR384108;
B;528;4377063;13;20210906 02:13;;;13;MANNIFERA DR;GUNDAROO;2620;2000;M;20190912;20210831;280000;;V;VACANT LAND;;;;0;AR384118;
B;528;4377058;16;20210906 02:13;;;16;MANNIFERA DR;GUNDAROO;2620;2000;M;20200819;20210827;320000;;V;VACANT LAND;;;;0;AR374821;
B;528;4377065;17;20210906 02:13;;;9;LOMANDRA ST;GUNDAROO;2620;2500;M;20201026;20210827;370000;;V;VACANT LAND;;;;0;AR374937;
B;528;4376044;18;20210906 02:13;;;19;HARP ST;GUNDAROO;2620;5225;M;20210429;20210830;980000;;R;RESIDENCE;;;;0;AR380232;
B;528;4377066;22;20210906 02:13;;;104;LUTE ST;GUNDAROO;2620;2500;M;20210226;20210827;390000;;V;VACANT LAND;;;;0;AR375086;
