B;102;1117032;72;20011109 10:46;;;;MERYLA RD;MERYLA;2577;45.12;H;20010718;20010815;100000;P;3;FARM;;ME;;;7876638;
B;102;1117054;94;20010720 09:37;;;;MERYLA RD;MERYLA;2577;4199;M;20010615;20010615;1000;R;V;;;JE;;;7701740;
B;102;1117043;43;20021001 11:58;;;;MERYLA RD;MERYLA;2577;72.84;H;20020703;20020829;711000;P;3;RURAL FARM;;ME;;;8924788;
B;102;2910731;94;20021001 11:58;;;;MERYLA RD;MERYLA;2577;51.15;H;20020111;20020222;882000;S;R;RESIDENCE;;HA;;;8966570;
B;102;1117045;33;20030501 12:42;;;;MERYLA RD;MERYLA;2577;7.378;H;20030226;20030408;50000;S;V;VACANT LAND;;GZ;;;9544212;
B;102;1117055;34;20030501 12:42;;;;MERYLA RD;MERYLA;2577;2.067;H;20030228;20030404;600000;S;R;RESIDENCE;;GZ;;;9519874;
B;102;1117050;51;20030701 14:21;LARA;;;MERYLA RD;MERYLA;2577;16.48;H;20020830;20030509;1150000;P;R;RESIDENCE;;MD;;0;9708168;
B;102;3086827;86;20040517 12:18;;;;MERYLA RD;MERYLA;2577;40.24;H;20040312;20040312;994750;;R;RESIDENCE;;;;0;AA551226;
B;102;1117017;14;20071101 01:22;;;;MERYLA RD;MERYLA;2577;40.69;H;20070504;20070615;2550000;R;3;FARM;;GW;;0;AD490624;
B;102;1117014;10;20080201 01:17;LANGLO;;;MERYLA RD;MERYLA;2577;2.37;H;20071117;20071217;625000;R;R;RESIDENCE;;HK;;0;AD701273;
B;102;3551477;8;20101206 02:50;;;;MERYLA RD;MERYLA;2577;2;H;20100714;20100730;275000;;V;VACANT LAND;;;;0;AF690188;
B;102;3086827;8;20110328 01:38;;;;MERYLA RD;MERYLA;2577;40.24;H;20110202;20110304;1200000;E3;3;FARM;;EEM;;0;AG107613;
B;102;1117031;9;20121022 01:25;WARRIGAL HILL;;1177;MERYLA RD;MERYLA;2577;16.19;H;20120827;20120926;525000;E3;R;RESIDENCE;;EEM;;0;AH292519;
B;102;3401460;1;20130805 01:12;GALBRAITH VALLEY WILDLIFE REFUGE;;;MERYLA RD;MERYLA;2577;40.47;H;20130531;20130710;220000;E3;V;VACANT LAND;;MEM;;0;AH893751;
B;102;1117033;23;20131021 01:13;;;;MERYLA RD;MERYLA;2577;60.7;H;20130802;20130926;140000;E3;V;VACANT LAND;;MEM;;0;AI59131;
B;102;1117052;10;20141229 01:18;TOROKINA;;928;MERYLA RD;MERYLA;2577;82.59;H;20140822;20141013;580000;E3;R;RESIDENCE;;MEM;;0;AJ110400;
B;102;1117036;21;20151221 01:16;WOODLEIGH;;411;SPRING HILL RD;MERYLA;2577;37.23;H;20151112;20151130;250000;E3;V;VACANT LAND;;MEM;;0;AK67602;
B;102;1117038;7;20160307 01:13;WELLSTON;;;MERYLA RD;MERYLA;2577;32.37;H;20151130;20160211;335000;E3;R;RESIDENCE;;MEM;;0;AK251247;
B;102;3551477;8;20160815 01:03;;;;MERYLA RD;MERYLA;2577;2;H;20160523;20160719;705000;E3;R;RESIDENCE;;GZM;;0;AK653507;
B;102;3551476;2;20160919 01:04;;;1035;MERYLA RD;MERYLA;2577;51.36;H;20160725;20160831;1035000;E3;R;RESIDENCE;;HAM;;0;AK744711;
B;102;1117045;33;20170814 01:05;;;1036;MERYLA RD;MERYLA;2577;7.378;H;20170622;20170727;210000;E3;V;VACANT LAND;;GZM;;0;AM629902;
B;102;3559103;2;20180604 01:14;;;;SPRING HILLS RD;MERYLA;2577;16.18;H;20170915;20171025;210000;E3;V;VACANT LAND;;HAM;;0;AN222541;
B;102;3559101;4;20181001 01:22;;;;SPRING HILLS RD;MERYLA;2577;16.18;H;20180601;20180622;315000;E3;R;RESIDENCE;;HAM;;0;AN481337;
B;102;1117043;14;20200803 01:01;;;101;SPRING HILLS RD;MERYLA;2577;72.84;H;20200618;20200730;1610000;E3;3;FARM;;HAM;;0;AQ282162;
B;102;1117040;36;20201228 01:01;;;209;SPRING HILLS RD;MERYLA;2577;68.97;H;20201106;20201218;1170000;E3;V;VACANT LAND;;HAM;;0;AQ664196;
B;102;1117036;12;20210426 01:02;WOODLEIGH;;411;SPRING HILLS RD;MERYLA;2577;37.23;H;20210324;20210421;780000;E3;R;RESIDENCE;;GZM;;0;AQ978012;
B;102;3559101;10;20220307 03:50;;;20;SPRING HILLS RD;MERYLA;2577;16.18;H;20220117;20220228;850000;C3;R;RESIDENCE;;GZM;;0;AR920174;
B;102;1117038;7;20221121 01:06;WELLSTON;;;MERYLA RD;MERYLA;2577;32.37;H;20221114;20221114;460000;C3;R;RESIDENCE;;GZM;;0;AS629915;
B;102;1117045;18;20241028 01:05;;;1036;MERYLA RD;MERYLA;2577;7.378;H;20240731;20241023;490000;C3;R;RESIDENCE;;GZM;;0;AU520394;
B;102;1117031;59;20250922 01:07;WARRIGAL HILL;;1177;MERYLA RD;MERYLA;2577;16.19;H;20250805;20250918;1420000;C3;R;RESIDENCE;;HAM;;;AV435667;
B;102;1117044;12;20251006 01:07;;;55;SPRING HILLS RD;MERYLA;2577;16.19;H;20250818;20250926;500000;C3;R;RESIDENCE;;GZM;;;AV457634;
B;102;3551476;6;20251110 01:07;;;1035;MERYLA RD;MERYLA;2577;51.36;H;20250801;20251030;5180000;C3;R;RESIDENCE;;HAM;;;AV560571;
B;102;1117009;;;;;;MERYLA RD;MERYLA;2577;50;H;19921223;19921223;366000;S;R;RESIDENCE;;;;;
B;102;1117030;;;;;;MERYLA RD;MERYLA;2577;53;H;19930122;19930122;340000;R;R;RESIDENCE;;;;;
B;102;;;;;;;YARRAWA RD;MERYLA;2577;41.06;H;19940601;19940601;245000;;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;2;H;19950928;19950928;192500;;R;RESIDENCE;;;;;
B;102;1117025;;;;;LOT 2;MERYLA RD;MERYLA;2577;43.03;H;19961220;19961220;410000;;R;RESIDENCE;;;;;
B;102;;;;;;LOT 8;MERYLA RD;MERYLA;2577;2.063;H;19960223;19960223;175000;S;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;5.558;H;19960226;19960226;4000;;R;RESIDENCE;;;;;
B;102;1117014;;;;;;MERYLA RD;MERYLA;2577;2.37;H;19960516;19960516;230000;R;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;16.19;H;19961004;19961004;83000;R;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;2.017;H;19970613;19970613;150000;;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;7.378;H;19971010;19971010;25000;S;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA  RD;MERYLA;2577;53.85;H;19980710;19980710;440000;S;R;RESIDENCE;;;;;
B;102;1117044;;;;;;MERYLA RD;MERYLA;2577;16.19;H;19980204;19980204;42500;R;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;2.067;H;19981021;19981021;280000;;R;RESIDENCE;;;;;
B;103;1200679;;;;;;MERYLA RD;MERYLA;2577;41;M;19981022;19981022;25000;;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;43.74;H;19990218;19990218;53360;;R;RESIDENCE;;;;;
B;102;1117040;;;;;;MERYLA RD;MERYLA;2577;68.97;H;19990310;19990310;395000;R;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;30.08;H;19990604;19990604;220000;;R;RESIDENCE;;;;;
B;102;1117021;;;;;;MERYLA RD;MERYLA;2577;40.08;H;19990701;19990701;315000;;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;1.859;H;19991129;19991129;265000;R;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;5.4;H;20000218;20000218;53360;;R;RESIDENCE;;;;;
B;102;;;;;;;MERYLA RD;MERYLA;2577;1834;M;20000411;20000411;2750;;R;RESIDENCE;;;;;
B;102;1125888;;;;;;YARRAWA RD;MERYLA;2577;40;H;20000901;20000901;420000;P;R;RESIDENCE;;;;;
B;102;1117017;;;;;;MERYLA RD;MERYLA;2577;40.69;H;20010122;20010122;130000;R;R;RESIDENCE;;;;;
